time, objectID, x, y, class
742.6573,0,31.8,20.04,2
742.7575,0,31.77,20.04,2
742.8571,0,31.77,20.04,2
742.9573,0,31.77,20.04,2
742.9573,1,10.77,18.21,2
743.0575,1,10.77,18.18,2
743.5571,1,10.8,18.15,2
743.6573,1,11.07,18.06,2
743.2572,2,30.69,20.88,2
743.3574,2,30.66,20.88,2
743.4576,2,30.66,20.88,2
743.5571,2,30.66,20.88,2
743.6573,2,30.6,20.91,2
743.7575,2,30.51,21,2
743.8577,2,30.42,21.09,2
743.9572,2,30.33,21.24,2
744.0574,2,30.12,21.36,2
744.1576,2,29.91,21.45,2
744.2572,2,29.7,21.57,2
744.3574,2,29.52,21.69,2
744.4575,2,29.34,21.84,2
744.5571,2,29.13,21.93,2
744.6573,2,28.98,22.08,2
744.7575,2,28.77,22.23,2
744.8577,2,28.62,22.38,2
744.9572,2,28.44,22.5,2
744.0574,3,18.36,16.65,2
744.3574,3,18.45,16.59,2
744.7575,3,18.33,16.47,2
745.0574,3,18.09,16.89,2
745.5577,4,19.83,25.92,2
745.6572,4,19.83,25.89,2
745.7574,4,19.83,25.89,2
745.8576,4,19.83,25.89,2
742.6573,5,37.86,12.51,2
742.7575,5,37.86,12.48,2
742.8571,5,37.86,12.48,2
742.9573,5,37.86,12.51,2
743.0575,5,37.86,12.51,2
743.1576,5,37.89,12.48,2
743.2572,5,37.92,12.48,2
743.3574,5,37.95,12.48,2
743.4576,5,37.95,12.48,2
743.5571,5,37.95,12.48,2
743.6573,5,37.98,12.45,2
743.7575,5,37.98,12.45,2
743.8577,5,38.01,12.45,2
743.9572,5,38.01,12.45,2
744.0574,5,38.01,12.45,2
744.1576,5,37.98,12.45,2
744.2572,5,38.01,12.45,2
744.3574,5,38.04,12.45,2
744.4575,5,38.07,12.42,2
744.5571,5,38.1,12.42,2
744.6573,5,38.13,12.39,2
744.7575,5,38.13,12.42,2
744.8577,5,38.1,12.39,2
744.9572,5,38.13,12.39,2
745.0574,5,38.13,12.39,2
745.1576,5,38.16,12.39,2
745.2571,5,38.16,12.39,2
745.3573,5,38.22,12.39,2
745.4575,5,38.19,12.39,2
745.5577,5,38.16,12.39,2
745.6572,5,38.13,12.39,2
745.7574,5,38.1,12.42,2
745.8576,5,38.07,12.42,2
745.9572,5,38.13,12.42,2
746.0574,5,38.01,12.39,2
742.6573,6,43.8,9.63,2
742.7575,6,43.8,9.63,2
742.8571,6,43.8,9.63,2
742.9573,6,43.8,9.63,2
743.0575,6,43.8,9.63,2
743.1576,6,43.8,9.63,2
743.2572,6,43.83,9.63,2
743.3574,6,43.83,9.63,2
743.4576,6,43.89,9.69,2
743.5571,6,43.86,9.69,2
743.6573,6,43.83,9.66,2
743.7575,6,43.86,9.69,2
743.8577,6,43.86,9.66,2
743.9572,6,43.86,9.66,2
744.0574,6,43.83,9.63,2
744.1576,6,43.83,9.66,2
744.2572,6,43.83,9.63,2
744.3574,6,43.8,9.6,2
744.4575,6,43.83,9.63,2
744.5571,6,43.83,9.63,2
744.6573,6,43.89,9.66,2
744.7575,6,43.89,9.66,2
744.8577,6,43.89,9.66,2
744.9572,6,43.92,9.69,2
745.0574,6,43.92,9.69,2
745.1576,6,43.95,9.72,2
