time, objectID, x, y, class
2544.753,0,1.15,21,1
2544.8532,0,1.15,21,1
2544.9527,0,1.15,21,1
2545.0529,0,1.1,21,1
2545.1531,0,1.1,21,1
2545.2526,0,1.2,20.95,1
2545.3528,0,1.2,20.9,1
2545.453,0,1.15,20.85,1
2545.5526,0,1.1,20.8,1
2545.6528,0,1.25,20.95,1
2545.753,0,1.3,20.85,1
2545.8532,0,1.25,20.9,1
2545.9527,0,1.4,20.95,1
2546.0529,0,1.4,21.1,1
2546.1531,0,1.45,21.05,1
2546.2526,0,1.25,21.05,1
2546.3528,0,1.1,20.95,1
2546.5525,0,0.9,20.85,1
2546.7529,0,0.9,20.6,1
2546.8531,0,0.95,20.5,1
2546.9527,0,0.95,20.4,1
2547.0529,0,0.9,20.4,1
2547.453,0,1.05,20.4,1
2545.2526,1,0.8,27.85,1
2545.6528,1,0.95,27.9,1
2545.753,1,1.1,27.8,1
2545.9527,1,1.8,27.3,1
2546.0529,1,2.1,27.15,1
2546.5525,1,3.45,26,1
2546.8531,1,3.75,25.65,1
2546.9527,1,3.9,25.45,1
2547.0529,1,4.15,25.3,1
2547.1531,1,4.4,25.25,1
2547.2526,1,4.6,25.15,1
2547.3528,1,4.75,25.05,1
2547.453,1,5,25.05,1
2547.5532,1,5.2,24.95,1
2547.6527,1,5.45,24.85,1
2547.7529,1,5.7,24.3,1
2547.8531,1,5.95,23.75,1
2547.9526,1,6.15,23.25,1
2548.0528,1,6.45,23.2,1
2548.153,1,6.75,23.05,1
2548.2526,1,7,22.9,1
2548.3528,1,7.25,22.7,1
2548.453,1,7.4,22.45,1
2548.5532,1,7.65,22.25,1
2548.7529,1,8.15,21.6,1
2548.9526,1,8.1,20.8,1
2549.0528,1,7.95,20.6,1
2548.153,2,0.9,20.9,1
2548.5532,2,0.95,21.05,1
2548.6527,2,0.95,21.3,1
2548.7529,2,1,21.3,1
2548.9526,2,1.1,21.6,1
2549.0528,2,1.2,21.5,1
2549.153,2,1.05,21.4,1
2549.3527,2,1,21.4,1
2549.4529,2,0.95,21.25,1
2549.5531,2,0.85,21.1,1
2549.9533,2,1.05,21.8,1
2550.0528,2,1.2,21.45,1
2550.4529,2,1.05,21.25,1
2544.753,3,9.5,25.3,1
2545.0529,3,9.5,25.2,1
2545.1531,3,9.55,25.2,1
2545.2526,3,9.8,24.35,1
2545.3528,3,10,23.45,1
2545.453,3,10.25,22.75,1
2545.5526,3,10.5,22.2,1
2545.6528,3,10.7,21.8,1
2545.753,3,11,21.45,1
2545.8532,3,11.25,21.35,1
2545.9527,3,11.55,21.15,1
2546.0529,3,11.9,20.9,1
2546.1531,3,12.25,20.75,1
2546.2526,3,12.55,20.6,1
2546.3528,3,12.8,20.45,1
2546.453,3,13.05,20.35,1
2546.5525,3,13.3,20.2,1
2546.6527,3,13.55,20.05,1
2546.7529,3,13.85,19.9,1
2546.8531,3,14.15,19.8,1
2546.9527,3,14.55,19.65,1
2547.0529,3,14.85,19.55,1
2547.1531,3,15.2,19.45,1
2547.2526,3,15.55,19.3,1
2547.3528,3,15.9,19.1,1
2547.453,3,16.2,18.9,1
2547.5532,3,16.55,18.65,1
2547.6527,3,16.9,18.45,1
2547.7529,3,17.25,18.2,1
2547.8531,3,17.6,18,1
2547.9526,3,18.05,17.75,1
2548.0528,3,18.55,17.6,1
2548.153,3,18.95,17.3,1
2548.2526,3,19.4,17.05,1
2548.3528,3,19.75,16.8,1
2548.453,3,20.2,16.55,1
2548.5532,3,20.65,16.35,1
2548.6527,3,21.05,16.15,1
2548.7529,3,21.5,15.9,1
2548.8531,3,21.95,15.85,1
2548.9526,3,22.5,15.5,1
2549.0528,3,22.95,15.15,1
2549.153,3,23.45,14.85,1
2549.2525,3,23.8,14.6,1
2549.3527,3,24.15,14.5,1
2549.4529,3,24.85,14.25,1
2549.5531,3,25.3,13.95,1
2549.6527,3,25.8,13.55,1
2549.7529,3,26.2,13.25,1
2549.8531,3,26.7,13.05,1
2549.9533,3,27.2,12.65,1
2550.0528,3,27.85,12.25,1
2550.153,3,28.3,12,1
2550.2532,3,28.7,11.75,1
2550.3527,3,29.15,11.55,1
2550.4529,3,29.7,11.25,1
2550.5531,3,30.25,10.95,1
2550.6526,3,30.85,10.6,1
2550.7528,3,31.35,10.25,1
2550.853,3,31.9,9.95,1
2550.9526,3,32.2,9.6,1
2551.0528,3,32.6,9.35,1
2551.153,3,33.05,9.1,1
2551.2525,3,33.55,8.85,1
2551.3527,3,34.15,8.65,1
2551.4529,3,34.7,8.35,1
2551.5531,3,35.2,8.1,1
2551.6526,3,35.65,7.85,1
2551.7528,3,36.2,7.75,1
2551.853,3,36.65,7.45,1
2551.9532,3,37.1,7.15,1
2552.0527,3,37.55,6.75,1
2552.1529,3,38.1,6.5,1
2552.2531,3,38.6,6.2,1
2552.3527,3,39.1,5.85,1
2552.4529,3,39.6,5.55,1
2552.5531,3,40.05,5.15,1
2552.6532,3,40.5,4.75,1
2552.7528,3,40.95,4.45,1
2552.853,3,41.4,4.05,1
2552.9532,3,42,3.95,1
2553.0527,3,42.4,3.75,1
2553.1529,3,42.85,3.45,1
2550.5531,4,11.65,26.4,1
2550.6526,4,11.65,26.35,1
2550.7528,4,11.65,26.35,1
2550.853,4,11.65,26.3,1
2551.153,4,11.9,25.65,1
2551.2525,4,12,25.45,1
2551.3527,4,12.05,25.35,1
2551.4529,4,12.1,24.9,1
2551.5531,4,12.15,24.6,1
2551.6526,4,12.2,24.4,1
2551.7528,4,12.25,24.25,1
2551.853,4,12.3,24.1,1
2551.9532,4,12.4,24.1,1
2552.0527,4,12.45,24.1,1
2552.1529,4,12.6,24.05,1
2552.2531,4,12.7,24.05,1
2552.3527,4,12.8,24.1,1
2552.4529,4,12.9,24.1,1
2552.5531,4,13,24.1,1
2552.6532,4,13.05,24.15,1
2552.7528,4,13.1,24.2,1
2552.853,4,13.1,24.2,1
2552.9532,4,13.2,24.2,1
2553.0527,4,13.25,24.25,1
2553.1529,4,13.25,24.3,1
2553.2531,4,13.3,24.3,1
2553.3526,4,13.35,24.35,1
2553.4528,4,13.35,24.3,1
2553.553,4,13.45,24.25,1
2553.6526,4,13.5,24.2,1
2553.7528,4,13.5,24.15,1
2553.8529,4,13.45,24.1,1
2553.9531,4,13.55,24.05,1
2554.0527,4,13.65,23.95,1
2554.1529,4,13.85,23.85,1
2554.2531,4,14,23.85,1
