time, objectID, x, y, class
3441.5598,0,1.35,21.1,1
3441.7595,0,1.3,21.05,1
3441.8597,0,1.25,21.05,1
3441.9599,0,1.15,21,1
3442.0594,0,1.05,21.1,1
3442.1596,0,0.95,21.3,1
3442.3593,0,0.8,21.7,1
3441.5598,1,6.85,19.6,1
3441.66,1,6.8,19.6,1
3441.7595,1,6.8,19.55,1
3441.8597,1,6.8,19.55,1
3441.9599,1,6.8,19.6,1
3442.0594,1,6.75,19.55,1
3442.1596,1,6.75,19.55,1
3442.2598,1,6.7,19.6,1
3442.3593,1,6.7,19.6,1
3442.4595,1,6.75,19.6,1
3442.5597,1,6.75,19.6,1
3442.6599,1,6.7,19.6,1
3442.7595,1,6.75,19.6,1
3442.8597,1,6.75,19.55,1
3442.9599,1,6.75,19.55,1
3443.0594,1,6.75,19.55,1
3443.1596,1,6.75,19.5,1
3443.2598,1,6.75,19.45,1
3443.3593,1,6.85,19.45,1
3443.4595,1,6.95,19.4,1
3443.5597,1,6.95,19.35,1
3443.6599,1,7,19.35,1
3443.7594,1,6.95,19.3,1
3443.8596,1,7,19.3,1
3443.9598,1,7.1,19.3,1
3444.0594,1,7.1,19.25,1
3444.1596,1,7.2,19.25,1
3444.2598,1,7.35,19.2,1
3444.36,1,7.45,19.1,1
3444.4595,1,7.6,19,1
3444.5597,1,7.7,18.95,1
3444.6599,1,7.85,18.95,1
3444.7594,1,7.9,18.95,1
3444.8596,1,8.05,18.9,1
3444.9598,1,8.2,18.9,1
3445.0593,1,8.3,18.9,1
3445.1595,1,8.4,18.75,1
3445.2597,1,8.55,18.6,1
3445.3599,1,8.6,18.45,1
3445.4595,1,8.75,18.35,1
3445.5597,1,8.95,18.2,1
3445.6598,1,8.95,18.05,1
3445.7594,1,9.15,17.95,1
3445.8596,1,9.05,17.9,1
3445.9598,1,9.05,17.9,1
3446.1595,1,9.35,17.9,1
3446.3592,1,9.65,17.85,1
3446.8596,1,10.25,17.3,1
3441.5598,2,9.5,22.05,1
3441.66,2,9.45,22,1
3441.7595,2,9.45,22,1
3441.8597,2,9.45,22,1
3441.9599,2,9.5,21.95,1
3442.0594,2,9.6,21.9,1
3442.1596,2,9.75,21.8,1
3442.2598,2,10.1,21.75,1
3442.3593,2,10.4,21.65,1
3442.4595,2,10.75,21.55,1
3442.5597,2,11.15,21.35,1
3442.6599,2,11.35,21.2,1
3442.7595,2,11.75,21.05,1
3442.8597,2,12,20.85,1
3442.9599,2,12.25,20.65,1
3443.0594,2,12.55,20.55,1
3443.1596,2,12.85,20.4,1
3443.2598,2,13.2,20.2,1
3443.3593,2,13.5,20,1
3443.4595,2,13.8,19.85,1
3443.5597,2,14.1,19.7,1
3443.6599,2,14.4,19.55,1
3443.7594,2,14.7,19.4,1
3443.8596,2,15.15,19.2,1
3443.9598,2,15.6,18.95,1
3444.0594,2,16,18.7,1
3444.1596,2,16.4,18.5,1
3444.2598,2,16.8,18.3,1
3444.36,2,17.2,18.05,1
3444.4595,2,17.6,17.8,1
3444.5597,2,18.05,17.6,1
3444.6599,2,18.5,17.3,1
3444.7594,2,18.9,17,1
3444.8596,2,19.35,16.8,1
3444.9598,2,19.85,16.5,1
3445.0593,2,20.35,16.2,1
3445.1595,2,20.85,16,1
3445.2597,2,21.25,15.75,1
3445.3599,2,21.8,15.6,1
