time, objectID, x, y, class
3445.8506,0,39.95,4.5,1
3445.9508,0,39.95,4.45,1
3446.0504,0,39.95,4.45,1
3446.1505,0,40.15,4.35,1
3445.8506,1,21.25,12.45,1
3445.9508,1,21.25,12.45,1
3446.0504,1,21.25,12.4,1
3446.1505,1,21.3,12.4,1
3446.2507,1,21.5,12.3,1
3446.3509,1,21.95,12.1,1
3446.4505,1,22.55,11.85,1
3446.5507,1,23.35,11.45,1
3446.6509,1,24.15,10.95,1
3446.7504,1,25.05,10.5,1
3446.8506,1,25.8,10.05,1
3446.9508,1,26.5,9.6,1
3447.0503,1,27.15,9.25,1
3447.1505,1,27.75,8.8,1
3447.2507,1,28.5,8.35,1
3447.3503,1,29.2,8,1
3447.4504,1,29.85,7.65,1
3447.5506,1,30.5,7.25,1
3447.6508,1,31.15,6.9,1
3447.7504,1,31.8,6.55,1
3447.8506,1,32.55,6.2,1
3447.9508,1,33.2,5.85,1
3448.0503,1,33.9,5.5,1
3448.1505,1,34.6,5.05,1
3448.2507,1,35.25,4.55,1
3448.3509,1,35.9,4.1,1
3448.4504,1,36.65,3.6,1
3448.5506,1,37.3,3.2,1
3448.6508,1,38,2.7,1
3448.7503,1,38.75,2.25,1
3448.8505,1,39.5,1.9,1
3449.0503,1,41.25,0.85,1
3448.1505,2,39.05,33.6,1
3448.3509,2,39,33.55,1
3448.4504,2,39,33.45,1
3448.5506,2,39,33.3,1
3448.6508,2,38.9,33.05,1
3448.7503,2,38.75,32.8,1
3448.8505,2,38.55,32.55,1
3448.9507,2,38.35,32.35,1
3449.5506,2,37.5,31.5,1
3449.6508,2,37.25,31.05,1
3449.7503,2,37.05,30.75,1
3449.8505,2,36.9,30.6,1
3449.9507,2,36.75,30.4,1
3450.0509,2,36.7,30.4,1
3450.2506,2,36.5,30.25,1
3450.4504,2,36.2,30,1
3450.7503,2,35.9,29.85,1
3453.0508,2,35.45,29.15,1
3453.2506,2,35.25,29.1,1
3453.5505,2,35.1,29.15,1
3453.7509,2,34.95,29.05,1
3453.8504,2,34.95,29,1
3454.6507,2,34.65,28.75,1
3454.7509,2,34.65,28.55,1
3454.8504,2,34.65,28.6,1
3455.7508,2,34.65,28.6,1
3456.3507,2,34.65,28.65,1
3456.6506,2,34.65,28.65,1
3457.1509,2,34.65,28.7,1
3457.6506,2,34.75,28.75,1
3457.7508,2,34.8,28.8,1
3459.6505,3,34.85,28.55,1
3460.1508,3,34.8,28.7,1
3460.2504,3,34.8,28.75,1
3460.4508,3,34.9,28.95,1
3460.551,3,34.85,28.95,1
3447.9508,4,0.65,20.3,1
3448.2507,4,0.65,20.3,1
3448.7503,4,0.85,20.25,1
3449.6508,4,0.8,20.3,1
3449.7503,4,0.75,20.35,1
3450.4504,4,0.65,20.3,1
3451.7509,4,0.65,20.25,1
3453.8504,4,0.75,20.25,1
3454.5505,4,0.75,20.2,1
3454.7509,4,0.75,20.25,1
3457.0507,4,0.7,20.35,1
3457.5504,4,0.4,23.15,1
3457.6506,4,0.55,23.25,1
3457.7508,4,0.7,23.1,1
3457.851,4,0.8,22.7,1
3457.9505,4,1.2,22.7,1
3458.0507,4,1.55,22.35,1
3458.1509,4,1.65,21.75,1
3458.2504,4,2,21.45,1
3458.3506,4,2.4,21.25,1
3458.4508,4,3.45,21.1,1
3458.5504,4,4.45,20.95,1
3458.7507,4,5.85,20.45,1
3458.8503,4,6.65,20.2,1
3459.0507,4,7.9,19.75,1
3459.1509,4,8.35,19.5,1
3459.2504,4,8.9,19.25,1
3459.3506,4,9.2,18.85,1
3459.4508,4,9.7,18.45,1
3459.5503,4,10.1,18.1,1
3459.7507,4,10.95,17.35,1
3459.8509,4,11.05,17.25,1
3459.9504,4,11.1,17.05,1
3460.0506,4,11.3,16.85,1
3460.1508,4,11.5,16.6,1
3460.2504,4,11.65,16.35,1
3460.3506,4,11.85,16.05,1
3460.4508,4,12,15.75,1
3460.551,4,12.15,15.55,1
3460.6505,4,12.3,15.25,1
3460.7507,4,12.45,15.05,1
3460.8509,4,12.75,14.9,1
3460.9504,4,13,14.75,1
3461.0506,4,13.3,14.65,1
3461.2503,4,13.6,14.2,1
3461.3505,4,13.65,13.95,1
3461.5503,4,13.75,13.45,1
3461.7507,4,13.8,13,1
3462.2503,4,14.35,11.9,1
3462.3505,4,14.45,11.85,1
3462.4507,4,14.45,11.6,1
3462.5509,4,14.55,11.4,1
3462.7506,4,14.75,11,1
3462.8508,4,14.85,10.8,1
3462.9504,4,14.95,10.45,1
3463.0506,4,15,10.1,1
3463.1508,4,15.05,9.65,1
3463.251,4,15.15,9.2,1
3463.3505,4,15.15,8.8,1
3463.4507,4,15.2,8.45,1
3463.5509,4,15.25,8.1,1
3463.6504,4,15.25,7.85,1
3463.8508,4,15.15,7.15,1
3463.9503,4,15.1,6.8,1
3464.0505,4,15.05,6.45,1
3464.1507,4,14.85,5.95,1
3464.2503,4,14.65,5.5,1
3464.3505,4,14.65,4.9,1
3464.4507,4,14.5,4.45,1
3464.5509,4,14.3,4,1
3464.6504,4,14.15,3.45,1
3464.8508,4,13.5,2.2,1
3464.9503,4,13.15,1.65,1
3465.0505,4,12.85,1.2,1
3465.1507,4,12.6,0.65,1
3465.2502,4,12.45,0.15,1
3465.5508,5,34.85,28.95,1
3465.8508,5,34.85,28.9,1
3466.3504,5,34.8,28.8,1
3466.6503,5,34.75,28.8,1
3467.0505,5,34.8,28.8,1
3467.4506,6,26.8,28.85,1
3467.7505,6,28.3,28.85,1
3468.2508,6,34.3,28.6,1
3468.7505,6,35.1,28.9,1
3464.6504,7,0.95,23.6,1
3464.7506,7,0.95,23.55,1
3464.8508,7,0.95,23.55,1
3465.1507,7,2.05,23.2,1
3465.2502,7,3.75,22.6,1
3465.3504,7,5.25,22.1,1
3465.4506,7,6.5,21.4,1
3465.5508,7,7.45,20.95,1
3465.6504,7,8.2,20.55,1
3465.7506,7,9.35,19.9,1
3465.8508,7,10.5,19.25,1
3465.951,7,11.5,18.65,1
3466.0505,7,12.3,18.05,1
3466.1507,7,13.35,17.55,1
3466.2509,7,14.25,17.05,1
3466.3504,7,15.1,16.5,1
3466.4506,7,15.9,16,1
3466.5508,7,16.8,15.5,1
3466.6503,7,17.75,14.95,1
3466.7505,7,18.6,14.5,1
3466.8507,7,19.4,14.1,1
3466.9503,7,20,13.7,1
3467.0505,7,20.75,13.2,1
3467.1507,7,21.5,12.65,1
3467.2509,7,22.1,12.25,1
3467.3504,7,22.9,11.8,1
3467.4506,7,23.7,11.4,1
3467.5508,7,24.55,10.95,1
3467.6503,7,25.3,10.4,1
3467.7505,7,26.05,9.9,1
3467.8507,7,26.8,9.45,1
3467.9502,7,27.55,9.05,1
3468.0504,7,28.4,8.55,1
3468.1506,7,29.2,8.05,1
3468.2508,7,30.2,7.8,1
3468.3504,7,31,7.3,1
3468.4506,7,31.8,6.85,1
3468.5508,7,32.7,6.35,1
3468.7505,7,33.5,5.85,1
3468.8507,7,34.5,5.2,1
3468.9509,7,35.45,4.55,1
3469.0504,7,36.4,3.95,1
3469.1506,7,37.3,3.4,1
3469.2508,7,38.25,2.8,1
3469.5507,7,41.35,0.95,1
3472.2507,8,34.9,28.4,1
3472.7504,8,34.85,28.45,1
3473.0503,8,34.85,28.55,1
3473.2507,8,34.85,28.85,1
3476.7509,9,34.85,28.75,1
3476.8505,9,34.8,28.75,1
3477.1504,9,34.8,28.75,1
3477.4503,9,34.8,28.65,1
3477.7502,9,34.8,28.75,1
3479.2505,10,34.85,28.85,1
3479.3507,10,34.85,28.85,1
3479.7509,10,34.8,28.85,1
