time, objectID, x, y, class
742.8571,0,12.8,21.35,1
742.9573,0,12.8,21.3,1
743.0575,0,12.8,21.3,1
743.1576,0,12.85,21.25,1
743.2572,0,13,21.1,1
743.3574,0,13.3,20.85,1
743.5571,0,14.6,20.1,1
743.6573,0,15.25,19.65,1
743.7575,0,15.9,19.15,1
743.8577,0,16.6,18.75,1
743.9572,0,17.5,18.4,1
744.0574,0,18.25,18.1,1
744.1576,0,18.9,17.8,1
744.2572,0,19.35,17.35,1
744.3574,0,19.95,17,1
744.4575,0,20.55,16.65,1
744.5571,0,21.15,16.3,1
744.6573,0,21.9,15.95,1
744.7575,0,21.65,16.05,1
744.8577,0,22.35,15.6,1
744.9572,0,23.05,15.1,1
745.2571,0,25.75,13.75,1
745.3573,0,25.05,13.9,1
745.7574,0,29.05,11.7,1
745.8576,0,29.95,11.4,1
746.0574,0,32.5,10.25,1
746.1576,0,32.95,9.7,1
746.2571,0,33.3,9.4,1
746.3573,0,33.3,9.2,1
746.4575,0,33.25,9.1,1
746.557,0,33.55,8.8,1
746.8576,0,35.4,7.2,1
746.9571,0,35.7,6.9,1
742.6573,1,7.65,19.6,1
742.7575,1,7.65,19.6,1
742.8571,1,7.65,19.55,1
742.9573,1,7.7,19.55,1
743.0575,1,7.85,19.55,1
743.1576,1,8.15,19.45,1
743.2572,1,8.6,19.3,1
743.3574,1,9.3,19,1
743.4576,1,9.9,18.7,1
743.5571,1,10.4,18.4,1
743.6573,1,10.85,18.1,1
743.7575,1,11.3,17.8,1
743.8577,1,11.75,17.55,1
743.9572,1,12.15,17.35,1
744.0574,1,12.5,17.1,1
744.1576,1,12.9,16.85,1
744.2572,1,13.3,16.55,1
744.3574,1,13.7,16.25,1
744.4575,1,14.1,16.05,1
744.5571,1,14.5,15.8,1
744.6573,1,14.85,15.55,1
744.7575,1,15.3,15.25,1
744.8577,1,15.8,15,1
744.9572,1,16.3,14.75,1
745.0574,1,16.7,14.4,1
745.1576,1,17.15,14.15,1
745.2571,1,17.6,13.85,1
745.3573,1,18.1,13.5,1
745.4575,1,18.7,13.15,1
745.5577,1,19.15,12.9,1
745.6572,1,19.9,12.65,1
745.7574,1,20.3,12.3,1
745.8576,1,20.85,12,1
745.9572,1,21.35,11.65,1
