time, objectID, x, y, class
1643.6554,0,21.45,3.75,2
1643.7549,0,21.42,3.75,2
1643.8551,0,21.42,3.72,2
1643.9553,0,21.42,3.75,2
1644.0549,0,21.39,3.78,2
1644.0549,1,20.79,2.88,2
1644.1551,1,20.76,2.88,2
1644.2552,1,20.76,2.88,2
1644.3548,1,20.73,2.88,2
1643.7549,2,12.09,27.54,2
1643.8551,2,12.06,27.54,2
1643.9553,2,12.09,27.54,2
1644.1551,2,12.09,27.54,2
1644.2552,2,12.12,27.54,2
1644.3548,2,12.12,27.54,2
1644.455,2,12.12,27.54,2
1644.5552,2,12.12,27.54,2
1644.6554,2,12.12,27.57,2
1644.7549,2,12.12,27.57,2
1644.8551,2,12.12,27.57,2
1644.9553,2,12.15,27.57,2
1645.0548,2,12.12,27.57,2
1644.455,3,4.92,14.55,2
1644.5552,3,4.92,14.55,2
1644.8551,3,4.92,14.55,2
1645.0548,3,4.92,14.55,2
1645.3554,3,4.92,14.55,2
1645.455,4,19.14,4.41,2
1645.7549,4,19.14,4.47,2
1645.8551,4,19.05,4.5,2
1645.9553,4,18.81,4.47,2
1643.7549,5,44.13,10.05,2
1643.8551,5,44.13,10.02,2
1643.9553,5,44.13,10.02,2
1644.1551,5,44.13,10.02,2
1644.2552,5,44.13,10.02,2
1644.3548,5,44.1,10.02,2
1644.5552,5,44.13,10.02,2
1644.6554,5,44.13,9.96,2
1644.7549,5,44.13,9.96,2
1644.9553,5,44.1,10.02,2
1645.0548,5,44.13,10.05,2
1645.155,5,44.13,10.05,2
1645.2552,5,44.13,10.02,2
1645.3554,5,44.13,10.05,2
1645.455,5,44.07,9.9,2
1645.5551,5,44.1,9.93,2
1645.6553,5,44.1,9.96,2
1646.155,5,44.07,10.05,2
1646.2552,5,44.1,9.99,2
1646.3554,5,44.13,9.96,2
1646.4549,5,44.13,9.99,2
1646.6553,5,44.13,9.99,2
1646.7549,5,44.13,10.02,2
1646.9552,5,44.13,10.02,2
1647.0548,5,44.1,10.05,2
1647.2552,5,44.1,10.08,2
1647.3554,5,44.1,10.11,2
1647.4549,5,44.07,10.11,2
1647.5551,5,44.1,10.2,2
1647.6553,5,44.1,10.26,2
1647.7548,5,44.1,10.38,2
1647.855,5,44.04,10.56,2
1647.9552,5,44.01,10.71,2
1648.0548,5,43.98,10.71,2
1648.1549,5,43.92,10.8,2
1648.2551,5,43.89,10.77,2
1648.4555,5,43.71,11.19,2
1649.7548,6,5.64,10.62,2
1650.4548,6,5.64,10.62,2
1651.0553,6,5.61,10.62,2
1651.1549,6,5.61,10.62,2
1651.9551,7,4.89,14.52,2
1652.4554,7,4.89,14.46,2
1652.9551,7,4.92,14.46,2
1653.1548,7,4.92,14.46,2
1653.7553,7,4.92,14.46,2
1654.0553,7,4.92,14.49,2
1654.5549,7,4.92,14.46,2
1643.7549,8,32.07,19.98,2
1643.8551,8,32.04,19.98,2
1643.9553,8,32.04,19.98,2
1644.0549,8,32.04,19.98,2
1644.1551,8,32.01,20.01,2
1644.2552,8,31.92,20.07,2
1644.3548,8,31.86,20.16,2
1644.455,8,31.71,20.25,2
1644.5552,8,31.56,20.37,2
1644.6554,8,31.41,20.46,2
1644.7549,8,31.26,20.58,2
1644.9553,8,30.75,20.82,2
1645.2552,8,30.24,21.09,2
1645.3554,8,30.18,21.12,2
1645.455,8,30.12,21.15,2
1645.5551,8,30.06,21.24,2
1645.6553,8,29.97,21.27,2
1645.7549,8,29.91,21.3,2
1645.8551,8,29.79,21.36,2
1645.9553,8,29.67,21.39,2
1646.0555,8,29.58,21.42,2
1646.155,8,29.46,21.45,2
1646.2552,8,29.28,21.54,2
1646.3554,8,29.19,21.57,2
1646.4549,8,29.07,21.6,2
1646.5551,8,28.95,21.63,2
1646.6553,8,28.8,21.72,2
1646.7549,8,28.71,21.75,2
1646.855,8,28.62,21.87,2
1646.9552,8,28.53,21.99,2
1647.0548,8,28.44,22.14,2
1647.155,8,28.32,22.26,2
1647.2552,8,28.23,22.35,2
1647.3554,8,28.11,22.44,2
1647.4549,8,27.99,22.5,2
1647.5551,8,27.9,22.53,2
1647.6553,8,27.81,22.59,2
1647.7548,8,27.69,22.59,2
1647.855,8,27.57,22.62,2
1648.3553,8,26.94,22.92,2
1648.9552,8,26.19,23.34,2
1649.0554,8,26.1,23.4,2
1649.1549,8,25.98,23.46,2
1649.2551,8,25.86,23.49,2
1649.3553,8,25.74,23.58,2
1649.555,8,25.44,23.67,2
1649.6552,8,25.35,23.73,2
1649.7548,8,25.26,23.82,2
1649.9552,8,24.99,23.91,2
1650.0554,8,24.9,23.91,2
1650.1549,8,24.81,23.88,2
1650.2551,8,24.66,23.91,2
1650.3553,8,24.51,23.94,2
1650.4548,8,24.36,23.94,2
1650.6552,8,24.12,24.06,2
1650.7554,8,24.06,24.09,2
1650.8549,8,23.97,24.18,2
1650.9551,8,23.91,24.24,2
1651.1549,8,23.73,24.36,2
1651.2551,8,23.67,24.36,2
1651.8549,8,22.86,24.69,2
1651.9551,8,22.77,24.78,2
1652.0553,8,22.71,24.81,2
1652.1548,8,22.65,24.81,2
1652.255,8,22.62,24.9,2
1652.3552,8,22.47,25.02,2
1652.555,8,22.17,25.23,2
1652.6552,8,22.05,25.29,2
1652.7554,8,21.96,25.35,2
1652.8549,8,21.84,25.38,2
1652.9551,8,21.72,25.44,2
1653.0553,8,21.6,25.47,2
1653.1548,8,21.45,25.5,2
1653.255,8,21.36,25.53,2
1653.3552,8,21.24,25.59,2
1653.4554,8,21.15,25.65,2
1653.5549,8,21.03,25.71,2
1653.6551,8,20.94,25.77,2
1653.7553,8,20.82,25.8,2
1653.9551,8,20.52,25.98,2
1654.0553,8,20.43,26.07,2
1654.1555,8,20.34,26.13,2
1654.255,8,20.25,26.16,2
1654.3552,8,20.13,26.22,2
1654.4554,8,19.95,26.22,2
1654.5549,8,19.83,26.28,2
1654.6551,8,19.71,26.31,2
1654.7553,8,19.59,26.34,2
1644.5552,9,19.71,3.03,2
1644.6554,9,19.68,3.03,2
1644.9553,9,19.47,3.06,2
1645.155,9,18.99,3.24,2
1645.2552,9,18.75,3.39,2
1645.3554,9,18.54,3.54,2
1645.455,9,18.39,3.66,2
1645.5551,9,18.24,3.81,2
1645.6553,9,18.15,3.93,2
1645.8551,9,17.73,4.23,2
1645.9553,9,17.61,4.35,2
1646.0555,9,17.49,4.41,2
1646.155,9,17.34,4.47,2
1646.2552,9,17.22,4.53,2
1646.3554,9,17.1,4.59,2
1646.4549,9,16.95,4.68,2
1646.5551,9,16.83,4.77,2
1646.6553,9,16.71,4.86,2
1646.7549,9,16.65,4.95,2
1646.855,9,16.56,4.98,2
1646.9552,9,16.47,5.07,2
1647.0548,9,16.35,5.19,2
1647.155,9,16.23,5.31,2
1647.2552,9,16.08,5.46,2
