3.84,4.85,,384,485,,,384,485,,144,164
2.35,5.51,,235,551,,,235,551,,198,285
3.21,6.66,,321,666,,,321,666,,108,343
4.42,5.88,,442,588,,,442,588,,360,238
,,,0,0,,,0,0,,452,113
,,,0,0,,,0,0,,604,380
7.56,2.48,,756,248,,,756,248,,590,600
6.66,3.08,,666,308,,,666,308,,351,800
7.33,4.2,,733,420,,,733,420,,756,248
8.23,3.46,,823,346,,,823,346,,666,308
,,,0,0,,,0,0,,733,420
,,,0,0,,,0,0,,823,346
4.52,1.13,,452,113,,,452,113,,384,485
6.04,3.8,,604,380,,,604,380,,235,551
5.9,6,,590,600,,,590,600,,321,666
3.51,8,,351,800,,,351,800,,442,588
,,,0,0,,,0,0,,,
,,,0,0,,,0,0,,,
1.44,1.64,,144,164,,,144,164,,,
1.98,2.85,,198,285,,,198,285,,,
1.08,3.43,,108,343,,,108,343,,,
3.6,2.38,,360,238,,,360,238,,,
